Replication Factor	Partition	Message Size	Acks	Batch Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	1000	-1	100000	124064.5128	118.32	342.71667	2589.33333	167	2493.33333	2566.66667	2581.33333
1	2	1000	-1	200000	135648.3993	129.36	207.56	304	227	275	285	299
1	2	1000	-1	200000	116171.0037	110.79	246.07	337	265	313	325	334
1	2	1000	-1	200000	72918.1858	69.54	423.17	4710	105	4029	4046	4047
1	2	1000	-1	200000	108245.863	103.23	292.26667	1783.66667	199	1539	1552	1560
1	2	1000	-1	500000	136388.4343	130.07	212.48	330	223	275	295	302
1	2	1000	-1	500000	99740.67425	95.12	299.58	1392	236	1334	1382	1388
1	2	1000	-1	500000	119645.8483	114.1	242.15	343	252	312	323	338
1	2	1000	-1	500000	118591.6523	113.09667	251.40333	688.33333	237	640.33333	666.66667	676
1	5	100	-1	16384	87101.94411	8.31	6.42	53779	2	29	128	135
1	5	100	-1	16384	1540832.049	146.95	1.57	141	1	2	7	14
1	5	100	-1	16384	1453065.969	138.58	1.62	135	1	2	14	22
1	5	100	-1	16384	1026999.988	97.94667	3.20333	18018.33333	1.33333	11	49.66667	57
1	5	100	-1	50000	1484119.917	141.54	1.77	138	2	2	8	19
1	5	100	-1	50000	1378929.95	131.51	1.26	139	1	2	3	13
1	5	100	-1	50000	1292323.598	123.25	13.2	245	1	122	235	243
1	5	100	-1	50000	1385124.488	132.1	5.41	174	1.33333	42	82	91.66667
1	5	100	-1	100000	1210946.961	115.48	28.6	417	1	361	401	413
1	5	100	-1	100000	1326259.947	126.48	21.91	574	2	148	306	426
1	5	100	-1	100000	1363884.343	130.07	19.38	218	2	166	196	217
1	5	100	-1	100000	1300363.75	124.01	23.29667	403	1.66667	225	301	352
1	5	100	-1	200000	1204238.921	114.85	29.03	311	1	247	292	310
1	5	100	-1	200000	1480165.779	141.16	1.73	133	1	6	13	17
1	5	100	-1	200000	1437607.821	137.1	1.43	139	1	3	8	32
1	5	100	-1	200000	1374004.173	131.03667	10.73	194.33333	1	85.33333	104.33333	119.66667
1	5	100	-1	500000	1223091.977	116.64	31.97	599	2	138	580	589
1	5	100	-1	500000	1395868.23	133.12	1.33	143	1	2	6	15
1	5	100	-1	500000	1374381.528	131.07	5.39	136	1	28	100	115
1	5	100	-1	500000	1331113.912	126.94333	12.89667	292.66667	1.33333	56	228.66667	239.66667
1	5	500	-1	16384	413736.0364	197.28	121.03	175	129	160	173	174
1	5	500	-1	16384	480538.2028	229.14	101.58	145	104	132	143	144
1	5	500	-1	16384	392156.8627	186.99	121.43	204	135	191	199	204
1	5	500	-1	16384	428810.3673	204.47	114.68	174.66667	122.66667	161	171.66667	174
1	5	500	-1	50000	304506.6991	145.2	164.54	593	164	503	571	590
1	5	500	-1	50000	240269.1014	114.57	225.91	354	251	321	339	351
1	5	500	-1	50000	183722.212	87.61	307.05	464	350	426	442	449
1	5	500	-1	50000	242832.6709	115.79333	232.5	470.33333	255	416.66667	450.66667	463.33333
1	5	500	-1	100000	183992.6403	87.73	312.22	471	335	410	457	467
1	5	500	-1	100000	183857.3267	87.67	310.37	815	334	653	764	813
1	5	500	-1	100000	193610.8422	92.32	283.19	794	316	695	761	790
1	5	500	-1	100000	187153.6031	89.24	301.92667	693.33333	328.33333	586	660.66667	690
1	5	500	-1	200000	188075.9827	89.68	296.07	424	320	370	400	419
1	5	500	-1	200000	185563.1843	88.48	302.42	506	322	416	484	501
1	5	500	-1	200000	182348.6506	86.95	310.45	459	335	395	438	444
1	5	500	-1	200000	185329.2725	88.37	302.98	463	325.66667	393.66667	440.66667	454.66667
1	5	500	-1	500000	171939.4773	81.99	326.66	959	336	719	841	923
1	5	500	-1	500000	173490.6315	82.73	323.1	479	337	405	430	444
1	5	500	-1	500000	178062.6781	84.91	312.06	806	327	639	758	777
1	5	500	-1	500000	174497.5956	83.21	320.60667	748	333.33333	587.66667	676.33333	714.66667
1	5	1000	-1	16384	94768.76422	90.38	312.8	397	326	374	385	393
1	5	1000	-1	16384	91776.79883	87.53	324.73	876	357	777	873	876
1	5	1000	-1	16384	100260.6778	95.62	295.52	477	315	360	454	476
1	5	1000	-1	16384	95602.08027	91.17667	311.01667	583.33333	332.66667	503.66667	570.66667	581.66667
1	5	1000	-1	50000	98135.42689	93.59	300.67	474	317	382	450	473
1	5	1000	-1	50000	97106.23422	92.61	303.98	396	322	369	390	394
1	5	1000	-1	50000	97885.66954	93.35	301.03	400	320	371	388	394
1	5	1000	-1	50000	97709.11022	93.18333	301.89333	423.33333	319.66667	374	409.33333	420.33333
1	5	1000	-1	100000	91962.47931	87.7	327.41	462	349	391	435	455
1	5	1000	-1	100000	80476.42041	76.75	378.82	1532	330	1462	1508	1521
1	5	1000	-1	100000	98814.22925	94.24	304.34	397	322	359	386	394
1	5	1000	-1	100000	90417.70966	86.23	336.85667	797	333.66667	737.33333	776.33333	790
1	5	1000	-1	200000	99661.15208	95.04	297.6	424	315	362	385	418
1	5	1000	-1	200000	81967.21311	78.17	372.75	1714	293	1559	1652	1708
1	5	1000	-1	200000	28918.44997	27.58	1103.43	16001	71	15980	15994	15999
1	5	1000	-1	200000	70182.27172	66.93	591.26	6046.33333	226.33333	5967	6010.33333	6041.66667
1	5	1000	-1	500000	325309.0436	310.24	72.61	171	71	131	164	168
1	5	1000	-1	500000	230946.8822	220.25	107.43	206	119	177	193	203
1	5	1000	-1	500000	141083.5214	134.55	189.55	1186	141	1101	1177	1182
