Replication Factor	Partition	Message Size	Acks	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
5	1	50	-1	253800.665	12.1	2031.22	5781	1980	4652	5673	5765
5	1	50	-1	388757.1434	18.54	1337.71	2943	1113	2656	2910	2938
5	1	50	-1	328795.9492	15.68	1682.43	2799	1663	2520	2635	2797
5	1	50	-1	323784.5859	15.44	1683.78667	3841	1585.33333	3276	3739.33333	3833.33333
5	1	100	-1	277546.489	26.47	997.09	1498	950	1394	1416	1465
5	1	100	-1	144705.2354	13.8	2035.93	3872	1958	3564	3740	3864
5	1	100	-1	232861.4009	22.21	1241.83	3234	979	2344	3227	3232
5	1	100	-1	218371.0418	20.82667	1424.95	2868	1295.66667	2434	2794.33333	2853.66667
5	1	200	-1	78978.96001	15.06	1965.5	4080	1867	3521	3909	4065
5	1	200	-1	93769.92611	17.89	1574.55	4061	1083	3349	3729	4026
5	1	200	-1	80590.56768	15.37	1924.11	4076	1645	3770	3958	4043
5	1	200	-1	84446.4846	16.10667	1821.38667	4072.33333	1531.66667	3546.66667	3865.33333	4044.66667
5	1	500	-1	44316.41923	21.13	1359.07	3204	1080	2997	3094	3181
5	1	500	-1	23756.35483	11.33	2697.23	4424	3035	3978	4350	4416
5	1	500	-1	63710.49949	30.38	911.43	2553	831	1196	2225	2523
5	1	500	-1	43927.75785	20.94667	1655.91	3393.66667	1648.66667	2723.66667	3223	3373.33333
5	1	1000	-1	13404.82574	12.78	2303	4505	2442	3751	4257	4484
5	1	1000	-1	32059.50244	30.57	978.38	2419	806	2099	2392	2416
5	1	1000	-1	13748.72824	13.11	2275.08	3588	2814	3435	3508	3585
5	1	1000	-1	19737.68547	18.82	1852.15333	3504	2020.66667	3095	3385.66667	3495
5	2	10	-1	1065416.578	10.16	184.36	9954	4	1119	1633	7557
5	2	10	-1	1498756.032	14.29	21.09	648	4	115	290	411
5	2	10	-1	1671290.571	15.94	15.56	578	4	42	468	547
5	2	10	-1	1411821.06	13.46333	73.67	3726.66667	4	425.33333	797	2838.33333
