Replication Factor	Partition	Message Size	Acks	Buffer Memory	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	5	500	-1	100000000	320204.9312	152.69	492.21	1140	377	1097	1128	1138
1	5	500	-1	100000000	370385.9932	176.61333	380.03333	698	384.33333	670.33333	691	697
1	5	500	-1	200000000	321440.0514	153.27	772.63	1382	808	1358	1378	1381
1	5	500	-1	200000000	400480.5767	190.96	376.52	622	485	605	608	621
1	5	500	-1	200000000	295595.6252	140.95	822.95	1679	489	1672	1677	1678
1	5	500	-1	200000000	339172.0844	161.72667	657.36667	1227.66667	594	1211.66667	1221	1226.66667
1	5	1000	-1	10000000	247279.9209	235.82	34.49	141	34	52	65	70
1	5	1000	-1	10000000	241896.4683	230.69	35.31	140	36	48	63	72
1	5	1000	-1	10000000	165125.4954	157.48	53.67	145	44	112	129	141
1	5	1000	-1	10000000	218100.6282	207.99667	41.15667	142	38	70.66667	85.66667	94.33333
1	5	1000	-1	33554432	93440.47841	89.11	319.93	838	308	740	800	837
1	5	1000	-1	33554432	93808.63039	89.46	317.74	434	336	386	408	431
1	5	1000	-1	33554432	91024.94083	86.81	329.15	1306	283	1252	1300	1306
1	5	1000	-1	33554432	92758.01655	88.46	322.27333	859.33333	309	792.66667	836	858
1	5	1000	-1	100000000	70136.06396	66.89	1242.63	4150	712	4085	4142	4148
1	5	1000	-1	100000000	161603.1028	154.12	443.21	683	533	633	673	681
1	5	1000	-1	100000000	146842.8781	140.04	540.21	964	597	916	952	961
1	5	1000	-1	100000000	126194.015	120.35	742.01667	1932.33333	614	1878	1922.33333	1930
1	5	1000	-1	200000000	137098.9855	130.75	867.63	1420	1010	1401	1415	1419
1	5	1000	-1	200000000	119875.3297	114.32	1148.97	1522	1349	1481	1511	1521
1	5	1000	-1	200000000	127453.4795	121.55	1001.64	1838	1150	1673	1825	1837
1	5	1000	-1	200000000	128142.5982	122.20667	1006.08	1593.33333	1169.66667	1518.33333	1583.66667	1592.33333
2	1	100	-1	10000000	289167.7751	27.58	304.79	1670	208	768	1380	1628
2	1	100	-1	10000000	429664.0028	40.98	199.8	527	185	281	493	523
2	1	100	-1	10000000	407597.6196	38.87	211.69	705	179	444	629	704
2	1	100	-1	10000000	375476.4658	35.81	238.76	967.33333	190.66667	497.66667	834	951.66667
2	1	100	-1	33554432	433688.9583	41.36	619.09	1136	626	703	970	1124
2	1	100	-1	33554432	455830.0666	43.47	611.54	992	588	945	969	990
2	1	100	-1	33554432	445990.545	42.53	619.22	1009	628	964	990	993
2	1	100	-1	33554432	445169.8566	42.45333	616.61667	1045.66667	614	870.66667	976.33333	1035.66667
2	1	100	-1	100000000	436910.1713	41.67	1678.55	2590	1764	2498	2572	2589
2	1	100	-1	100000000	439599.0856	41.92	1652.8	2385	1863	2278	2376	2383
2	1	100	-1	100000000	446627.9589	42.59	1635.08	2212	1757	2152	2192	2211
2	1	100	-1	100000000	441045.7386	42.06	1655.47667	2395.66667	1794.66667	2309.33333	2380	2394.33333
2	1	100	-1	200000000	126154.312	12.03	12573.7	30295	11063	29757	30277	30291
2	1	100	-1	200000000	124063.3219	11.83	12779.89	30672	11594	30132	30230	30667
2	1	100	-1	200000000	168067.2269	16.03	9044.43	21366	6164	20888	21343	21364
2	1	100	-1	200000000	139428.2869	13.29667	11466.00667	27444.33333	9607	26925.66667	27283.33333	27440.66667
2	1	500	-1	10000000	91802.07473	43.77	207.18	2339	160	207	2270	2332
2	1	500	-1	10000000	113391.541	54.07	166.05	595	156	188	591	594
2	1	500	-1	10000000	106894.7087	50.97	176.3	425	160	354	413	424
2	1	500	-1	10000000	104029.4415	49.60333	183.17667	1119.66667	158.66667	249.66667	1091.33333	1116.66667
2	1	500	-1	33554432	107642.6265	51.33	571.07	1195	539	1137	1184	1194
2	1	500	-1	33554432	102113.7547	48.69	597.71	972	548	947	970	971
2	1	500	-1	33554432	114534.4176	54.61	534.38	861	533	780	858	860
2	1	500	-1	33554432	108096.9329	51.54333	567.72	1009.33333	540	954.66667	1004	1008.33333
2	1	500	-1	100000000	97096.80552	46.3	1754.08	2574	1800	2545	2567	2573
2	1	500	-1	100000000	113662.196	54.2	1479.55	1764	1598	1720	1734	1759
2	1	500	-1	100000000	103702.1674	49.45	1641.43	2271	1676	2215	2263	2270
2	1	500	-1	100000000	104820.3896	49.98333	1625.02	2203	1691.33333	2160	2188	2200.66667
2	1	500	-1	200000000	96469.22632	46	3181.88	4731	3349	4641	4712	4728
2	1	500	-1	200000000	109745.3907	52.33	2734.54	3660	3266	3620	3646	3659
2	1	500	-1	200000000	96070.70804	45.81	3201.18	4053	3456	4034	4047	4052
2	1	500	-1	200000000	100761.775	48.04667	3039.2	4148	3357	4098.33333	4135	4146.33333
2	1	1000	-1	10000000	54620.93074	52.09	173.65	480	157	280	470	475
2	1	1000	-1	10000000	53885.11693	51.39	175.83	706	160	233	624	698
2	1	1000	-1	10000000	53607.8053	51.12	169.9	852	153	192	607	830
2	1	1000	-1	10000000	54037.95099	51.53333	173.12667	679.33333	156.66667	235	567	667.66667
2	1	1000	-1	33554432	51642.22268	49.25	600.15	1115	546	998	1111	1114
2	1	1000	-1	33554432	53873.50501	51.38	536.67	1465	508	616	1462	1464
2	1	1000	-1	33554432	55145.03143	52.59	559.97	808	542	774	802	807
2	1	1000	-1	33554432	53553.58637	51.07333	565.59667	1129.33333	532	796	1125	1128.33333
2	1	1000	-1	100000000	50489.75058	48.15	1636.63	2354	1605	2344	2350	2352
2	1	1000	-1	100000000	54920.91388	52.38	1552.33	1998	1591	1975	1992	1997
2	1	1000	-1	100000000	53821.31324	51.33	1595.78	2424	1591	2408	2418	2422
2	1	1000	-1	100000000	53077.3259	50.62	1594.91333	2258.66667	1595.66667	2242.33333	2253.33333	2257
