Replication Factor	Partition	Message Size	Acks	Linger Ms	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	100	-1	0	1048576	1010686.719	96.38333	13.89333	8675.33333	1	154.66667	187.66667	194.66667
1	2	100	-1	0	5000000	1418842.225	135.31	1.1	135	1	2	11	25
1	2	100	-1	0	5000000	1135073.78	108.25	76.09	832	1	661	784	826
1	2	100	-1	0	5000000	1426126.64	136.01	0.81	136	1	1	3	14
1	2	100	-1	0	5000000	1326680.882	126.52333	26	367.66667	1	221.33333	266	288.33333
1	2	100	-1	0	10000000	1383891.503	131.98	1.06	134	1	1	11	25
1	2	100	-1	0	10000000	1354279.523	129.15	0.94	133	1	1	10	23
1	2	100	-1	0	10000000	1149689.584	109.64	35.95	624	1	466	592	622
1	2	100	-1	0	10000000	1295953.537	123.59	12.65	297	1	156	204.33333	223.33333
1	2	100	-1	2	1048576	1381215.47	131.72	0.8	137	1	2	4	12
1	2	100	-1	2	1048576	1100836.636	104.98	52.02	677	1	526	664	675
1	2	100	-1	2	1048576	1389274.799	132.49	0.89	139	1	2	14	19
1	2	100	-1	2	1048576	1290442.301	123.06333	17.90333	317.66667	1	176.66667	227.33333	235.33333
1	2	100	-1	2	5000000	1276161.307	121.7	18.43	382	1	152	198	239
1	2	100	-1	2	5000000	1340123.291	127.8	0.74	136	1	2	8	21
1	2	100	-1	2	5000000	1339046.599	127.7	1.82	135	1	12	29	47
1	2	100	-1	2	5000000	1318443.732	125.73333	6.99667	217.66667	1	55.33333	78.33333	102.33333
1	2	100	-1	2	10000000	572147.843	54.56	324.58	4293	1	4146	4270	4291
1	2	100	-1	2	10000000	1131990.038	107.95	64.17	864	1	779	855	863
1	2	100	-1	2	10000000	1153402.537	110	50.15	460	1	362	450	458
1	2	100	-1	2	10000000	952513.473	90.83667	146.3	1872.33333	1	1762.33333	1858.33333	1870.66667
1	2	100	-1	5	1048576	1418037.436	135.23	0.5	139	0	1	3	15
1	2	100	-1	5	1048576	494755.5907	47.18	413.23	5222	1	5110	5200	5219
1	2	100	-1	5	1048576	1172607.88	111.83	28.71	418	1	385	409	417
