Replication Factor	Partition	Message Size	Acks	Batch Size	Linger ms	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	100	-1	200000	2	631233.4301	60.2	332.52	741	415	582	695	738
1	2	100	-1	200000	2	678702.3212	64.73	305.76	498	385	462	485	495
1	2	100	-1	200000	2	817249.6502	77.94	218.59333	458	270	368.33333	428	446.33333
1	2	100	-1	200000	5	458001.2824	43.68	450.66	5472	67	5336	5450	5468
1	2	100	-1	200000	5	1102292.769	105.12	38.1	142	31	105	119	139
1	2	100	-1	200000	5	648760.8667	61.87	205.38	2519	63	375	2504	2516
1	2	100	-1	200000	5	736351.6394	70.22333	231.38	2711	53.66667	1938.66667	2691	2707.66667
1	2	100	-1	500000	0	911244.7603	86.9	62.51	227	53	190	210	222
1	2	100	-1	500000	0	759993.92	72.48	147.02	541	76	429	522	535
1	2	100	-1	500000	0	717257.2084	68.4	238.09	580	231	464	566	576
1	2	100	-1	500000	0	796165.2963	75.92667	149.20667	449.33333	120	361	432.66667	444.33333
1	2	100	-1	500000	2	626017.2781	59.7	231.3	1983	116	1884	1959	1980
1	2	100	-1	500000	2	658327.8473	62.78	271.36	1797	175	1561	1753	1783
1	2	100	-1	500000	2	560789.5917	53.48	314.23	4503	31	4384	4482	4497
1	2	100	-1	500000	2	615044.9057	58.65333	272.29667	2761	107.33333	2609.66667	2731.33333	2753.33333
1	2	100	-1	500000	5	1082954.299	103.28	55.06	427	32	370	411	419
1	2	100	-1	500000	5	753125.4707	71.82	153.23	1524	61	1389	1488	1518
1	2	100	-1	500000	5	861623.2983	82.17	107.18	377	69	320	364	374
1	2	100	-1	500000	5	899234.3561	85.75667	105.15667	776	54	693	754.33333	770.33333
1	2	500	-1	16384	0	88323.61774	42.12	712.96	7723	170	7708	7715	7722
1	2	500	-1	16384	0	267809.3198	127.7	214.97	644	192	592	636	643
1	2	500	-1	16384	0	220118.8642	104.96	266.87	651	279	610	643	650
