Replication Factor	Partition	Message Size	Acks	Batch Size	Max Request Size	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	2	100	-1	16384	10000000	969180.0737	92.43	101.42	1486	1	1448	1474	1484
1	2	100	-1	16384	10000000	1253899.835	119.58333	34.45333	587.66667	1	483.66667	497.33333	509.66667
1	2	100	-1	200000	1048576	1065416.578	101.61	65.96	1144	1	1091	1126	1142
1	2	100	-1	200000	1048576	1381215.47	131.72	0.78	136	1	1	2	16
1	2	100	-1	200000	1048576	1310959.622	125.02	0.92	139	1	2	6	19
1	2	100	-1	200000	1048576	1252530.557	119.45	22.55333	473	1	364.66667	378	392.33333
1	2	100	-1	200000	5000000	1237930.181	118.06	32.22	566	1	423	558	564
1	2	100	-1	200000	5000000	1357220.413	129.43	0.78	134	1	1	3	9
1	2	100	-1	200000	5000000	1250312.578	119.24	28.41	529	1	387	487	524
1	2	100	-1	200000	5000000	1281821.057	122.24333	20.47	409.66667	1	270.33333	349.33333	365.66667
1	2	100	-1	200000	10000000	774833.4108	73.89	163.68	2877	1	2733	2852	2875
1	2	100	-1	200000	10000000	1303780.965	124.34	3.17	131	1	20	31	40
1	2	100	-1	200000	10000000	654450.2618	62.41	242.23	1640	138	1584	1614	1637
1	2	100	-1	200000	10000000	911021.5458	86.88	136.36	1549.33333	46.66667	1445.66667	1499	1517.33333
1	2	100	-1	500000	1048576	656857.5933	62.64	283.8	684	303	509	667	682
1	2	100	-1	500000	1048576	551085.6387	52.56	316.69	2916	153	2824	2886	2901
1	2	100	-1	500000	1048576	663305.9167	63.26	228.51	1535	84	1429	1503	1529
1	2	100	-1	500000	1048576	623749.7162	59.48667	276.33333	1711.66667	180	1587.33333	1685.33333	1704
1	2	100	-1	500000	5000000	975990.6305	93.08	50.01	359	39	143	330	358
1	2	100	-1	500000	5000000	859993.1201	82.02	50.09	142	51	106	120	133
1	2	100	-1	500000	5000000	644579.0899	61.47	223.72	2535	62	2430	2509	2528
1	2	100	-1	500000	5000000	826854.2801	78.85667	107.94	1012	50.66667	893	986.33333	1006.33333
1	2	100	-1	500000	10000000	954016.4091	90.98	59.22	329	53	129	295	325
1	2	100	-1	500000	10000000	869414.015	82.91	82.95	218	91	168	208	214
1	2	100	-1	500000	10000000	701754.386	66.92	205.82	1317	100	1065	1292	1311
1	2	100	-1	500000	10000000	841728.27	80.27	115.99667	621.33333	81.33333	454	598.33333	616.66667
1	2	500	-1	16384	1048576	143760.7821	68.55	421.13	2871	268	2786	2834	2863
1	2	500	-1	16384	1048576	196927.9244	93.9	279.39	672	297	365	460	667
1	2	500	-1	16384	1048576	210925.965	100.58	276.13	728	285	641	696	727
1	2	500	-1	16384	1048576	183871.5571	87.67667	325.55	1423.66667	283.33333	1264	1330	1419
1	2	500	-1	16384	5000000	191938.5797	91.52	303.15	455	328	403	429	453
1	2	500	-1	16384	5000000	145158.949	69.22	418.87	2293	320	2231	2272	2291
