Replication Factor	Partition	Message Size	Acks	Batch Size	Buffer Memory	Records/sec	MB/sec	avg latency	max latency	50th	95th	99th	99.9th
1	1	1000	-1	500000	33554432	80740.30119	77	374.44	582.66667	393	483.33333	563.33333	579
1	1	1000	-1	500000	100000000	77148.58818	73.57	1064.79	1636	1191	1370	1566	1612
1	1	1000	-1	500000	100000000	78715.36524	75.07	1045.31	1422	1168	1309	1377	1382
1	1	1000	-1	500000	100000000	85106.38298	81.16	959.05	1240	1134	1181	1226	1237
1	1	1000	-1	500000	100000000	80323.44547	76.6	1023.05	1432.66667	1164.33333	1286.66667	1389.66667	1410.33333
1	1	1000	-1	500000	200000000	63889.59877	60.93	2500.37	4666	1840	4455	4596	4662
1	1	1000	-1	500000	200000000	96339.11368	91.88	1396.35	2173	1742	2106	2142	2146
1	1	1000	-1	500000	200000000	88825.72393	84.71	1555.33	2316	1972	2275	2290	2292
1	1	1000	-1	500000	200000000	83018.14546	79.17333	1817.35	3051.66667	1851.33333	2945.33333	3009.33333	3033.33333
1	2	100	-1	16384	33554432	83099.27039	7.92	6.46	56098	1	26	62	80
1	2	100	-1	16384	33554432	1341561.578	127.94	3.82	135	1	29	41	45
1	2	100	-1	16384	33554432	1281394.157	122.2	1.09	142	1	3	6	15
1	2	100	-1	16384	33554432	902018.335	86.02	3.79	18791.66667	1	19.33333	36.33333	46.66667
1	2	100	-1	16384	100000000	1328374.07	126.68	1.02	136	1	3	4	6
1	2	100	-1	16384	100000000	1400560.224	133.57	1.17	139	1	2	14	29
1	2	100	-1	16384	100000000	1159017.153	110.53	96.4	691	1	592	677	689
1	2	100	-1	16384	100000000	1295983.816	123.59333	32.86333	322	1	199	231.66667	241.33333
1	2	100	-1	16384	200000000	1174536.058	112.01	43.11	662	1	355	573	657
1	2	100	-1	16384	200000000	1069747.54	102.02	202.14	1097	1	926	1077	1094
1	2	100	-1	16384	200000000	1302083.333	124.18	21.73	396	1	209	371	394
1	2	100	-1	16384	200000000	1182122.31	112.73667	88.99333	718.33333	1	496.66667	673.66667	715
1	2	100	-1	200000	33554432	1385809.313	132.16	0.92	134	1	2	5	24
1	2	100	-1	200000	33554432	1271294.177	121.24	9.65	246	1	73	185	239
1	2	100	-1	200000	33554432	316115.5719	30.15	680.1	11318	1	11167	11295	11316
1	2	100	-1	200000	33554432	991073.0207	94.51667	230.22333	3899.33333	1	3747.33333	3828.33333	3859.66667
1	2	100	-1	200000	100000000	1400560.224	133.57	1.37	130	1	6	8	19
1	2	100	-1	200000	100000000	1087429.317	103.71	145.34	1015	1	836	984	1013
1	2	100	-1	200000	100000000	1464557.704	139.67	1.11	136	1	4	6	14
1	2	100	-1	200000	100000000	1317515.748	125.65	49.27333	427	1	282	332.66667	348.66667
