File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
		Test data	100	0.01	0.9847258979	10	0.01	0.9400666228	100	0.01	0.9591094444	100	0.01	0.9691950481
		Cross Validation	100	0.01	0.9893665265	10	0.01	0.9348457436	100	0.01	0.9650173876	100	0.01	0.957476092
	3	Validation data	100	0.01	0.9638679904	100	0.01	0.8939318713	100	0.01	0.9335816366	100	0.01	0.9131945652
		Test data	100	0.01	0.978351272	100	0.01	0.900160755	100	0.01	0.9419439008	100	0.01	0.9246234639
		Cross Validation	100	0.01	0.9821641721	100	0.01	0.9032942503	100	0.01	0.937934397	100	0.01	0.9108284969
	5	Validation data	100	0.01	0.9553356202	100	0.1	0.8810989173	100	0.01	0.9260545297	100	0.01	0.8943277714
		Test data	100	0.01	0.9608815664	100	0.1	0.8833634545	100	0.01	0.9242050269	100	0.01	0.8493459347
		Cross Validation	100	0.01	0.9609089734	100	0.1	0.8909549097	100	0.01	0.9128932776	100	0.01	0.8518538969
	7	Validation data	100	0.01	0.958069947	100	0.1	0.8388036105	100	0.01	0.8297311655	100	0.01	0.7937177709
		Test data	100	0.01	0.9408062448	100	0.1	0.8577298891	100	0.01	0.8794642639	100	0.01	0.775303955
		Cross Validation	100	0.01	0.9502749125	100	0.1	0.854256444	100	0.01	0.8686623276	100	0.01	0.7952624592
	10	Validation data	100	0.01	0.9036165057	100	0.1	0.7351620883	100	0.01	0.7891019467	100	0.01	0.6917778743
		Test data	100	0.01	0.9136439154	100	0.1	0.7564403585	100	0.01	0.7836320305	100	0.01	0.6803587646
		Cross Validation	100	0.01	0.9242087455	100	0.1	0.7774424916	100	0.01	0.8257871426	100	0.01	0.6978623793
Linger Ms + Max Request Size	2	Validation data	1	0.1	0.9893791847	100	0.1	0.9700575459	100	0.01	0.9769023667	100	1	0.9336377266
		Test data	1	0.1	0.9795391833	100	0.1	0.9606213789	100	0.01	0.9555112869	100	1	0.9425122271
		Cross Validation	1	0.1	0.9818222938	100	0.1	0.9602234545	100	0.01	0.9687921474	100	1	0.9434120868
	3	Validation data	100	0.01	0.9807769675	100	0.1	0.9419032761	100	0.01	0.9293138359	100	0.01	0.9168687657
		Test data	100	0.01	0.9779925335	100	0.1	0.9331476818	100	0.01	0.9401676577	100	0.01	0.9091044512
		Cross Validation	100	0.01	0.9797645621	100	0.1	0.9434126742	100	0.01	0.942732442	100	0.01	0.922831246
	5	Validation data	100	0.01	0.944615481	100	0.01	0.8239349505	100	0.01	0.8940214454	100	0.01	0.8342769242
		Test data	100	0.01	0.9574963222	100	0.01	0.8794260752	100	0.01	0.9056492358	100	0.01	0.8646702199
		Cross Validation	100	0.01	0.956787636	100	0.01	0.8635153552	100	0.01	0.9053466952	100	0.01	0.8597458822
