 	Buckets	Test Type	Neighbors	Records/sec	Neighbors	MB/sec	Neighbors	Avg latency	Neighbors	Max latency		
	10	Validation data	1	0.603324807	1	0.8076690542	1	0.6925820175	1	0.3764470454		
		Test data	1	0.6948469944	1	0.7849057257	1	0.6876446445	1	0.4255288595		
		Cross Validation	1	0.6652981743	1	0.8048749971	1	0.6848516178	1	0.4029488475		
Buffer Memory + Linger Ms	2	Validation data	3	0.931495365	1	0.9445978685	1	0.9615901568	1	0.9144089991		
		Test data	3	0.9334791843	1	0.9606554043	1	0.9400785789	1	0.9168816748		
		Cross Validation	3	0.9389565074	1	0.959875702	1	0.9406688362	1	0.9221557132		
	3	Validation data	1	0.9295649618	1	0.9378995333	1	0.8927034896	1	0.8442385965		
		Test data	1	0.91316115	1	0.9402927449	1	0.8937308308	1	0.855265588		
		Cross Validation	1	0.9200956319	1	0.9434197232	1	0.9060357386	1	0.859051552		
	5	Validation data	1	0.8345998395	1	0.8973808607	1	0.8669436004	1	0.775825137		
		Test data	1	0.8478545147	1	0.9152700044	1	0.8689865775	1	0.7741842535		
		Cross Validation	1	0.8556186706	1	0.9235273385	1	0.8655766113	1	0.7640645927		
	7	Validation data	1	0.8284908684	1	0.872383081	1	0.7894853346	1	0.7104424482		
		Test data	1	0.8366370909	1	0.9150809747	1	0.808150534	1	0.6719667534		
		Cross Validation	1	0.8322998661	1	0.9159789939	1	0.818930191	1	0.6917032825		
	10	Validation data	1	0.7396741074	1	0.876346396	1	0.7569196485	1	0.6195943595		
		Test data	1	0.7710099974	1	0.8628223577	1	0.78857181	1	0.652984986		
		Cross Validation	1	0.7702283888	1	0.8943748678	1	0.7698853357	1	0.6210519514		
Linger Ms + Max Request Size	2	Validation data	5	0.9167938564	1	0.9079421726	1	0.8886509636	1	0.8434049297		
		Test data	5	0.9246949199	1	0.9093241478	1	0.9160719806	1	0.8430493752		
		Cross Validation	5	0.9358766653	1	0.9272985737	1	0.9070631359	1	0.8521975375		
	3	Validation data	1	0.8704996712	1	0.8905832169	1	0.8738096274	1	0.7605069333		
		Test data	1	0.9073711989	1	0.8947087977	1	0.8244902072	1	0.7428640567		
		Cross Validation	1	0.897117531	1	0.901238281	1	0.8648852182	1	0.7527544115		
	5	Validation data	3	0.8052631194	1	0.8496882511	1	0.8143513535	1	0.5768550376		
		Test data	3	0.7854433496	1	0.8682478224	1	0.7925492855	1	0.6023156453		
		Cross Validation	3	0.8323104396	1	0.8659090909	1	0.8048685354	1	0.6011760145		
	7	Validation data	3	0.7830242661	1	0.8771762744	1	0.7437617416	1	0.5240675375		
		Test data	3	0.7792136658	1	0.8798783606	1	0.7487057058	1	0.5135385475		
		Cross Validation	3	0.8014409408	1	0.8659114406	1	0.7643982471	1	0.5391016001		
	10	Validation data	1	0.7315303634	1	0.8274528062	1	0.7022251458	1	0.4360058435		
		Test data	1	0.7118012313	1	0.8305646273	1	0.7379374882	1	0.4407303699		
		Cross Validation	1	0.7407457882	1	0.8497938156	1	0.7102164055	1	0.4296981837		
