File	Buckets	Test Type	C	Records/sec	C	MB/sec	C	Avg latency	C	Max latency		
		Cross Validation	100	0.7424551799	10	0.5853961559	100	0.7054271717	100	0.6028812942		
	10	Validation data	100	0.6325925255	1	0.4532767305	100	0.5829117725	100	0.4790929059		
		Test data	100	0.6219027204	1	0.4498245268	100	0.6096959584	100	0.4765626168		
		Cross Validation	100	0.6101012712	1	0.4362244179	100	0.5998002773	100	0.4852575248		
Batch Size + Max Request Size	2	Validation data	100	1	10	0.904490286	10	0.9573567537	100	0.9572062061		
		Test data	100	0.9914911334	10	0.9129801169	10	0.9475663515	100	0.9607105068		
		Cross Validation	100	0.9982847341	10	0.9166598134	10	0.9485578843	100	0.9554189478		
	3	Validation data	100	0.9874230884	100	0.8079345395	100	0.916914143	100	0.9185269214		
		Test data	100	0.9914884218	100	0.8008202133	100	0.8916705898	100	0.9334464558		
		Cross Validation	100	0.9927988205	100	0.7945845767	100	0.8974564722	100	0.9142613783		
	5	Validation data	100	0.7956650387	10	0.6812105124	100	0.7594885609	100	0.7629367491		
		Test data	100	0.7929139906	10	0.705120721	100	0.803999348	100	0.7380974668		
		Cross Validation	100	0.8048626612	10	0.6683780164	100	0.7719465918	100	0.7465671186		
	7	Validation data	100	0.7024394542	100	0.5876319375	100	0.5985240188	100	0.5502454038		
		Test data	100	0.7337216485	100	0.5293863211	100	0.625626623	100	0.543690897		
		Cross Validation	100	0.7095367607	100	0.5699476022	100	0.6392367067	100	0.5884830471		
	10	Validation data	100	0.5912990745	100	0.5022294366	100	0.5594127535	100	0.4286288658		
		Test data	100	0.5953255484	100	0.4825208446	100	0.568683372	100	0.4238826005		
		Cross Validation	100	0.6080411899	100	0.480791372	100	0.5901906765	100	0.4725516342		
Buffer Memory + Linger Ms	2	Validation data	100	0.9935835082	10	0.8672376874	100	0.9572719103	100	0.9572046384		
		Test data	100	0.9982936584	10	0.8582759232	100	0.9539465638	100	0.9589979358		
		Cross Validation	100	0.9955414836	10	0.8542646679	100	0.96021993	100	0.9626213022		
	3	Validation data	100	0.9871606672	10	0.787110756	100	0.9193376946	100	0.8990326116		
		Test data	100	0.9966090829	10	0.7784328944	100	0.9262885793	100	0.8962977323		
		Cross Validation	100	0.9903974482	10	0.7698994337	100	0.9262729387	100	0.9146179422		
	5	Validation data	100	0.7574572315	100	0.6013494146	100	0.8152180446	100	0.7475822626		
		Test data	100	0.8050875707	100	0.5567106556	100	0.7996812585	100	0.7906016969		
		Cross Validation	100	0.7805329073	100	0.5620597288	100	0.8045196081	100	0.7770923894		
	7	Validation data	100	0.7372503572	10	0.462150374	100	0.7113019145	100	0.6668953579		
		Test data	100	0.7415352404	10	0.4334339893	100	0.689171053	100	0.6435783104		
		Cross Validation	100	0.7301058531	10	0.4869680914	100	0.7174381447	100	0.6752496534		
	10	Validation data	100	0.6031760629	100	0.2990551081	100	0.6210208407	100	0.5101940371		
		Test data	100	0.6350296625	100	0.4076498467	100	0.5973080056	100	0.5559580252		
		Cross Validation	100	0.610421415	100	0.3792781785	100	0.6069955826	100	0.5438967081		
Linger Ms + Max Request Size	2	Validation data	1	0.991578042	100	0.9317289879	100	0.9594142026	100	0.9468515104		
		Test data	1	0.9897511854	100	0.9092513752	100	0.9675128209	100	0.9715813972		
		Cross Validation	1	0.9917673113	100	0.9084365234	100	0.9660500717	100	0.9591954698		
	3	Validation data	100	0.9936483208	10	0.7919426289	100	0.9337507226	100	0.9088883505		
