File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
Batch Size + Linger Ms	2	Validation data	100	0.01	0.9914346895	10	0.01	0.9207708779	100	0.01	0.9635974304	100	0.01	0.9571734475
		Test data	100	0.01	0.9931506849	10	0.01	0.9178082192	100	0.01	0.9606164384	100	0.01	0.9520547945
		Cross Validation	100	0.01	0.9914271952	10	0.01	0.9351829225	100	0.01	0.9639941023	100	0.01	0.9581616109
	3	Validation data	100	0.01	0.9871520343	100	0.01	0.8907922912	100	0.01	0.9357601713	100	0.01	0.9293361884
		Test data	100	0.01	0.9828767123	100	0.01	0.8852739726	100	0.01	0.9434931507	100	0.01	0.8989726027
		Cross Validation	100	0.01	0.9814804154	100	0.01	0.9029476726	100	0.01	0.9434156113	100	0.01	0.9166645128
	5	Validation data	100	0.01	0.9678800857	100	0.1	0.8800856531	100	0.01	0.9271948608	100	0.01	0.8458244111
		Test data	100	0.01	0.9469178082	100	0.1	0.8767123288	100	0.01	0.9160958904	100	0.01	0.8407534247
		Cross Validation	100	0.01	0.9602228671	100	0.1	0.887853333	100	0.01	0.9149586456	100	0.01	0.8518538969
	7	Validation data	100	0.01	0.9379014989	100	0.1	0.8458244111	100	0.01	0.8715203426	100	0.01	0.7901498929
		Test data	100	0.01	0.9537671233	100	0.1	0.8304794521	100	0.01	0.8630136986	100	0.01	0.772260274
		Cross Validation	100	0.01	0.9475281374	100	0.1	0.8597447073	100	0.01	0.8768867925	100	0.01	0.7935542423
	10	Validation data	100	0.01	0.9186295503	100	0.1	0.7516059957	100	0.01	0.8222698073	100	0.01	0.6488222698
		Test data	100	0.01	0.9178082192	100	0.1	0.7534246575	100	0.01	0.8099315068	100	0.01	0.6969178082
		Cross Validation	100	0.01	0.9149533589	100	0.1	0.777091802	100	0.01	0.8309323527	100	0.01	0.7002860735
Linger Ms + Max Request Size	2	Validation data	1	0.1	0.9721627409	100	0.1	0.9571734475	100	0.01	0.965738758	100	1	0.9336188437
		Test data	1	0.1	0.9828767123	100	0.1	0.9589041096	100	0.01	0.9554794521	100	1	0.9469178082
		Cross Validation	1	0.1	0.9831968561	100	0.1	0.9581657229	100	0.01	0.9650191499	100	1	0.946157687
	3	Validation data	100	0.01	0.9721627409	100	0.1	0.9379014989	100	0.01	0.9379014989	100	0.01	0.9400428266
		Test data	100	0.01	0.9811643836	100	0.1	0.9297945205	100	0.01	0.9383561644	100	0.01	0.9212328767
		Cross Validation	100	0.01	0.9797710238	100	0.1	0.9372424164	100	0.01	0.9420451608	100	0.01	0.9259187246
