File	Buckets	Test Type	C-Records	Records/sec	C-MB	MB/sec	C-Avg	Avg latency	C-Max	Max latency		
Buffer Memory + Linger Ms	2	Validation data	100	0.9978589285	10	0.8372486536	100	0.9657545129	100	0.9550527769		
		Test data	100	0.9914384817	10	0.8526965356	100	0.967465658	100	0.9571823609		
		Cross Validation	100	0.9969125214	10	0.8508306116	100	0.9605647454	100	0.9602240419		
	3	Validation data	100	0.9935757642	10	0.7681042645	100	0.935886908	100	0.9187698467		
		Test data	100	0.9914304042	10	0.7434578438	100	0.9212507611	100	0.9264833515		
		Cross Validation	100	0.9903968608	10	0.773659508	100	0.9221551258	100	0.916322047		
	5	Validation data	100	0.7580952356	100	0.579720863	100	0.8198666676	100	0.7679866738		
		Test data	100	0.7515520532	100	0.534020735	100	0.7931122899	100	0.7812303223		
		Cross Validation	100	0.7764262553	100	0.5600219695	100	0.8072663831	100	0.7781168496		
	7	Validation data	100	0.6757503517	10	0.5244058932	100	0.7090891631	100	0.7062807141		
		Test data	100	0.6655265118	10	0.4746494852	100	0.7294279416	100	0.6499764898		
		Cross Validation	100	0.7308113443	10	0.4903903992	100	0.7133097582	100	0.66838859		
	10	Validation data	100	0.6201386174	100	0.3427292527	100	0.6205205639	100	0.5249306682		
		Test data	100	0.5961289691	100	0.3550432929	100	0.597315593	100	0.543969594		
		Cross Validation	100	0.6104202401	100	0.3837472685	100	0.6056327686	100	0.5517933927		
Linger Ms + Max Request Size	2	Validation data	1	1	100	0.899388064	100	0.9785981574	100	0.9678800857		
		Test data	1	0.9880156323	100	0.8869863014	100	0.9486229059	100	0.9554794521		
		Cross Validation	1	0.9914254329	100	0.9070678352	100	0.9667326535	100	0.9588488921		
	3	Validation data	100	0.9978583262	10	0.8126546864	100	0.9253426396	100	0.9252608179		
		Test data	100	0.9862759169	10	0.7826250326	100	0.9283843693	100	0.9241386549		
		Cross Validation	100	0.9907410888	10	0.7784734134	100	0.9231825231	100	0.9173541437		
	5	Validation data	100	0.8261887042	100	0.6251025197	100	0.7920465627	100	0.7293286909		
		Test data	100	0.7703665975	100	0.6346376665	100	0.7540947952	100	0.7483571175		
		Cross Validation	100	0.7914970981	100	0.6450515755	100	0.8120632534	100	0.7331992058		
	7	Validation data	100	0.7331827779	100	0.5603804869	10	0.7036904882	100	0.5868345803		
		Test data	100	0.730814571	100	0.5391817901	10	0.68787592	100	0.5910593915		
		Cross Validation	100	0.7421091896	100	0.5473201908	10	0.6844956413	100	0.5991188703		
	10	Validation data	100	0.6176116446	100	0.4168282905	100	0.5729513035	100	0.5145441903		
		Test data	100	0.6165904944	100	0.4114218386	100	0.5802750258	100	0.4794351723		
		Cross Validation	100	0.6484920933	100	0.433465307	100	0.5764679621	100	0.4845596701		
