File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
Buffer Memory + Linger Ms	2	Validation data	100	0.01	0.9935767259	100	0.1	0.9614458125	100	0.01	0.9721606962	100	0.01	0.9614483221
		Test data	100	0.01	0.9777348276	100	0.1	0.9760231687	100	0.01	0.9691595836	100	0.01	0.9606149372
		Cross Validation	100	0.01	0.9852545877	100	0.1	0.9639894029	100	0.01	0.9650197373	100	0.01	0.9629614183
	3	Validation data	100	0.01	0.9828625246	100	0.1	0.9120891401	100	0.01	0.9573658413	100	0.01	0.8932254041
		Test data	100	0.01	0.9811161403	100	0.1	0.9178132592	100	0.01	0.9435881549	100	0.01	0.9214926529
		Cross Validation	100	0.01	0.9869669165	100	0.1	0.920098569	100	0.01	0.9468479053	100	0.01	0.9231819357
	5	Validation data	100	0.01	0.9485998853	100	0.1	0.8477720802	100	0.01	0.8883193909	100	0.01	0.8450276754
		Test data	100	0.01	0.926371996	100	0.1	0.8728595586	100	0.01	0.9000911227	100	0.01	0.855285619
		Cross Validation	100	0.01	0.9506173782	100	0.1	0.8827175216	100	0.01	0.905010691	100	0.01	0.8707147724
	7	Validation data	100	0.01	0.935527193	100	0.1	0.8297287158	100	0.01	0.8674473607	100	0.01	0.7886247339
		Test data	100	0.01	0.9383865354	100	0.1	0.8220915592	100	0.01	0.8647878794	100	0.01	0.8260316307
		Cross Validation	100	0.01	0.9475316619	100	0.1	0.8189207923	100	0.01	0.8693349233	100	0.01	0.8209802862
	10	Validation data	100	0.01	0.905797505	100	0.1	0.7274019542	100	0.01	0.8112336447	100	0.01	0.690985707
		Test data	100	0.01	0.908033078	100	0.1	0.7272295081	100	0.01	0.827221725	100	0.01	0.7136789032
		Cross Validation	100	0.01	0.9125555112	100	0.1	0.7503365916	100	0.01	0.8065802768	100	0.01	0.7311267887
Linger Ms + Max Request Size	2	Validation data	100	0.01	0.9850074037	100	0.01	0.9208814473	100	1	0.9678573543	100	0.01	0.9485363818
		Test data	100	0.01	0.9914405456	100	0.01	0.9365290244	100	1	0.9434651365	100	0.01	0.9469840116
		Cross Validation	100	0.01	0.9873070326	100	0.01	0.94512794	100	1	0.9605635706	100	0.01	0.9557537771
	3	Validation data	100	0.01	0.9657642295	100	0.1	0.9270775001	100	0.01	0.9337621013	100	1	0.851960266
		Test data	100	0.01	0.9811867583	100	0.1	0.928071607	100	0.01	0.9505665431	100	1	0.8501554545
		Cross Validation	100	0.01	0.9814815903	100	0.1	0.9259240114	100	0.01	0.9471844968	100	1	0.86111692
	5	Validation data	100	0.01	0.9531655406	100	0.1	0.8514385947	100	1	0.9016321925	100	0.01	0.8409904524
		Test data	100	0.01	0.9520073398	100	0.1	0.8840094864	100	1	0.8992804172	100	0.01	0.8524118422
		Cross Validation	100	0.01	0.959875702	100	0.1	0.8837413943	100	1	0.8998625438	100	0.01	0.8484186659
	7	Validation data	100	0.01	0.9357814153	100	0.1	0.8361549323	100	1	0.8418916054	100	0.01	0.7606742661
		Test data	100	0.01	0.9350085942	100	0.1	0.7900582959	100	1	0.8226393299	100	0.01	0.7669209415
		Cross Validation	100	0.01	0.9441046547	100	0.1	0.825450551	100	1	0.8597405954	100	0.01	0.7839505158
	10	Validation data	100	0.01	0.9079235645	100	0.1	0.7258394946	100	1	0.7935115187	100	0.01	0.6518935043
		Test data	100	0.01	0.9126280878	100	0.1	0.7418400751	100	1	0.7497662427	100	0.01	0.6511921248
		Cross Validation	100	0.01	0.9104913179	100	0.1	0.7486236754	100	1	0.786014709	100	0.01	0.662205409
