File	Buckets	Test Type	C-Records	Gamma-Records	Records/sec	C-MB	Gamma-MB	MB/sec	C-Avg	Gamma-Avg	Avg latency	C-Max	Gamma-Max	Max latency
		Cross Validation	100	0.01	0.9550770695	100	0.1	0.8840779859	100	0.01	0.896436124	100	0.01	0.8669411875
	7	Validation data	100	0.01	0.9443254818	100	0.1	0.800856531	100	0.01	0.8565310493	100	0.01	0.7623126338
		Test data	100	0.01	0.9383561644	100	0.1	0.8065068493	100	0.01	0.8647260274	100	0.01	0.7893835616
		Cross Validation	100	0.01	0.943762189	100	0.1	0.8288740337	100	0.01	0.8587037994	100	0.01	0.8041859536
	10	Validation data	100	0.01	0.9229122056	100	0.01	0.6616702355	100	0.01	0.7665952891	100	0.01	0.6895074946
		Test data	100	0.01	0.9109589041	100	0.01	0.6815068493	100	0.01	0.7893835616	100	0.01	0.7328767123
		Cross Validation	100	0.01	0.9070572617	100	0.01	0.6766018938	100	0.01	0.7860094222	100	0.01	0.7215289363
Batch Size + Linger Ms	2	Validation data	100	0.01	0.9957173448	10	0.01	0.9379014989	100	0.01	0.9678800857	100	0.01	0.9593147752
		Test data	100	0.01	0.9897260274	10	0.01	0.9452054795	100	0.01	0.9623287671	100	0.01	0.9537671233
		Cross Validation	100	0.01	0.9903980357	10	0.01	0.9362120821	100	0.01	0.9650197373	100	0.01	0.9578173829
	3	Validation data	100	0.01	0.982869379	100	0.01	0.9014989293	100	0.01	0.9464668094	100	0.01	0.886509636
		Test data	100	0.01	0.9845890411	100	0.01	0.8869863014	100	0.01	0.9349315068	100	0.01	0.897260274
		Cross Validation	100	0.01	0.9790819803	100	0.01	0.9012277074	100	0.01	0.9434226603	100	0.01	0.9108367208
	5	Validation data	100	0.01	0.9700214133	100	0.1	0.8972162741	100	0.01	0.8886509636	100	0.01	0.835117773
		Test data	100	0.01	0.9691780822	100	0.1	0.8835616438	100	0.01	0.9297945205	100	0.01	0.8493150685
		Cross Validation	100	0.01	0.9585040767	100	0.1	0.8906053949	100	0.01	0.9091202801	100	0.01	0.8576805141
	7	Validation data	100	0.01	0.9464668094	100	0.1	0.869379015	100	0.01	0.8822269807	100	0.01	0.7623126338
		Test data	100	0.01	0.948630137	100	0.1	0.8373287671	100	0.01	0.8681506849	100	0.01	0.7825342466
		Cross Validation	100	0.01	0.9495923306	100	0.1	0.8580253295	100	0.01	0.8720852229	100	0.01	0.7935466059
	10	Validation data	100	0.01	0.9186295503	100	0.1	0.7516059957	100	0.01	0.8308351178	100	0.01	0.6788008565
		Test data	100	0.01	0.897260274	100	0.1	0.7534246575	100	0.01	0.8065068493	100	0.01	0.6712328767
		Cross Validation	100	0.01	0.9228394699	100	0.1	0.7781285979	100	0.01	0.820992622	100	0.01	0.7043997744
Linger Ms + Max Request Size	2	Validation data	1	0.1	0.9785867238	100	0.1	0.9550321199	100	0.01	0.9550321199	100	1	0.9250535332
		Test data	1	0.1	0.9794520548	100	0.1	0.9554794521	100	0.01	0.9726027397	100	1	0.9280821918
		Cross Validation	1	0.1	0.9821688714	100	0.1	0.9619369581	100	0.01	0.968450269	100	1	0.944783712
	3	Validation data	100	0.01	0.9914346895	100	0.1	0.9443254818	100	0.01	0.9143468951	100	0.01	0.9143468951
		Test data	100	0.01	0.9811643836	100	0.1	0.9417808219	100	0.01	0.9452054795	100	0.01	0.9109589041
		Cross Validation	100	0.01	0.981479828	100	0.1	0.9399839047	100	0.01	0.9396432012	100	0.01	0.917358843
	5	Validation data	100	0.01	0.9443254818	100	0.01	0.852248394	100	0.01	0.8929336188	100	0.01	0.8201284797
		Test data	100	0.01	0.9280821918	100	0.01	0.8321917808	100	0.01	0.8955479452	100	0.01	0.8510273973
		Cross Validation	100	0.01	0.9554218849	100	0.01	0.8611145704	100	0.01	0.9008946404	100	0.01	0.8617901032
	7	Validation data	100	0.01	0.9164882227	100	0.1	0.8137044968	100	1	0.7837259101	100	0.01	0.8072805139
		Test data	100	0.01	0.9349315068	100	0.1	0.8030821918	100	1	0.8390410959	100	0.01	0.7414383562
		Cross Validation	100	0.01	0.9290126648	100	0.1	0.8312765807	100	1	0.8209932094	100	0.01	0.780864212
	10	Validation data	100	0.01	0.9100642398	100	0.1	0.7601713062	100	0.01	0.7987152034	100	0.01	0.6616702355
		Test data	100	0.01	0.9023972603	100	0.1	0.7739726027	100	0.01	0.8202054795	100	0.01	0.6952054795
		Cross Validation	100	0.01	0.9252373176	100	0.1	0.767150309	100	0.01	0.816523532	100	0.01	0.7081586738
