 	Buckets	Test Type	Neighbors	Records/sec	Neighbors	MB/sec	Neighbors	Avg latency	Neighbors	Max latency		
		Test data	1	0.6920545433	1	0.8075381653	1	0.7444408413	1	0.4436615312		
		Cross Validation	1	0.7174164102	1	0.8473953805	1	0.7205068258	1	0.4482306915		
Batch Size + Max Request Size	2	Validation data	3	0.8821783564	1	0.8865190169	1	0.8865127583	1	0.7878801711		
		Test data	3	0.8850365411	1	0.8989806026	1	0.8799953695	1	0.7858276926		
		Cross Validation	3	0.906029277	1	0.9050071665	1	0.8936817124	1	0.8137820438		
	3	Validation data	1	0.8160251167	1	0.8500879969	1	0.8099768213	1	0.6312732966		
		Test data	1	0.8328483456	1	0.8731893146	1	0.8306899077	1	0.6983450263		
		Cross Validation	1	0.8614499871	1	0.8779059658	1	0.8405354919	1	0.6893071971		
	5	Validation data	1	0.746129428	1	0.8455898815	1	0.7583026173	1	0.5453294244		
		Test data	1	0.7765445001	1	0.825940515	1	0.7440199991	1	0.5469507837		
		Cross Validation	1	0.7925227331	1	0.8556198454	1	0.7688649874	1	0.5737329355		
	7	Validation data	1	0.7182459751	1	0.7650908007	1	0.7067155189	1	0.5151151438		
		Test data	1	0.7159375776	1	0.7951807118	1	0.6939609349	1	0.4725257542		
		Cross Validation	1	0.7222244414	1	0.8206436946	1	0.7280504711	1	0.4852534129		
	10	Validation data	1	0.6536285117	1	0.7407206373	1	0.6921422597	1	0.4209635389		
		Test data	1	0.6371476873	1	0.8097020363	1	0.6812655968	1	0.3885821154		
		Cross Validation	1	0.6604842689	1	0.8065814516	1	0.6906794098	1	0.4067265443		
Buffer Memory + Linger Ms	2	Validation data	3	0.9486015375	1	0.9485911642	1	0.9507630392	1	0.9271567408		
		Test data	3	0.9298120324	1	0.9452054795	1	0.924636318	1	0.9058177755		
		Cross Validation	3	0.9430731455	1	0.9595326488	1	0.9389500458	1	0.9152981743		
	3	Validation data	1	0.9274323352	1	0.9357586758	1	0.9250484793	1	0.8676558412		
		Test data	1	0.9045959521	1	0.9365362673	1	0.8983231765	1	0.8308130804		
		Cross Validation	1	0.9204380977	1	0.9423829272	1	0.9080969948	1	0.8573380484		
	5	Validation data	1	0.8408463343	1	0.9164093899	1	0.8577869126	1	0.7478320836		
		Test data	1	0.8590092832	1	0.924794462	1	0.8612304881	1	0.7543539544		
		Cross Validation	1	0.8545912733	1	0.9245559106	1	0.8683104631	1	0.7661182124		
	7	Validation data	1	0.818187731	1	0.898549869	1	0.8153274637	1	0.6721683967		
		Test data	1	0.8519085064	1	0.8913255793	1	0.8135996923	1	0.6882559197		
		Cross Validation	1	0.836761907	1	0.9091220423	1	0.8185918372	1	0.6965042647		
	10	Validation data	1	0.7832169631	1	0.9164008779	1	0.7773840989	1	0.6125798536		
		Test data	1	0.7475999217	1	0.8947464144	1	0.7298086074	1	0.6120879817		
		Cross Validation	1	0.7753859348	1	0.8902617543	1	0.7602962946	1	0.6289445241		
Linger Ms + Max Request Size	2	Validation data	5	0.9293698957	1	0.9229242395	1	0.9164614056	1	0.8476165382		
		Test data	5	0.9332397407	1	0.9297542005	1	0.8989681591	1	0.8112985326		
		Cross Validation	5	0.9327880119	1	0.9259228365	1	0.9128985643	1	0.8401895016		
	3	Validation data	1	0.8792187107	1	0.8779047933	1	0.8478286981	1	0.7133220849		
		Test data	1	0.9111264258	1	0.8937731618	1	0.8321908128	1	0.7294718273		
		Cross Validation	1	0.902608144	1	0.8995142038	1	0.8645433398	1	0.7527502996		
	5	Validation data	3	0.8268796083	1	0.8667283132	1	0.7860134387	1	0.6302988347		
		Test data	3	0.822555323	1	0.8398425795	1	0.7638764009	1	0.5595449423		
		Cross Validation	3	0.8319697361	1	0.8765437393	1	0.7897771329	1	0.5984263023		
	7	Validation data	3	0.7527019179	1	0.8537038214	1	0.7350428828	1	0.4981970078		
		Test data	3	0.7790233557	1	0.8450997445	1	0.7680775721	1	0.5175036856		
		Cross Validation	3	0.8100049343	1	0.8624791466	1	0.7616673324	1	0.5322188021		
	10	Validation data	1	0.7345863174	1	0.8049413428	1	0.7274948223	1	0.3755935366		
		Test data	1	0.7558201833	1	0.8113263093	1	0.7204661775	1	0.4239724899		
		Cross Validation	1	0.7390187739	1	0.8449969454	1	0.7163948871	1	0.4200885829		
