file	Buckets	Test Type	Neighbors-Records	Records/sec	Neighbors-MB	MB/sec	Neighbors-Avg	Avg latency	Neighbors-Max	Max latency		
Batch Size + Buffer Memory	7	Validation data	1	0.7344753747	1	0.8051391863	1	0.6937901499	1	0.5931477516		
Batch Size + Buffer Memory		Test data	1	0.7157534247	1	0.8030821918	1	0.7397260274	1	0.6113013699		
Batch Size + Buffer Memory		Cross Validation	1	0.7698994337	1	0.8353926314	1	0.7438250429	1	0.6104231772		
Batch Size + Buffer Memory	10	Validation data	1	0.73875803	1	0.7880085653	1	0.7130620985	1	0.5160599572		
Batch Size + Buffer Memory		Test data	1	0.6506849315	1	0.7636986301	1	0.654109589	1	0.5		
Batch Size + Buffer Memory		Cross Validation	1	0.6834606076	1	0.8028137409	1	0.6882733382	1	0.520582603		
Batch Size + Linger Ms	2	Validation data	1	0.9336188437	1	0.8993576017	1	0.8886509636	1	0.8479657388		
Batch Size + Linger Ms		Test data	1	0.926369863	1	0.9075342466	1	0.9006849315	1	0.8321917808		
Batch Size + Linger Ms		Cross Validation	1	0.9389641439	1	0.9207858502	1	0.9125490496	1	0.8484245401		
Batch Size + Linger Ms	3	Validation data	1	0.9229122056	1	0.8800856531	1	0.8629550321	1	0.7408993576		
Batch Size + Linger Ms		Test data	1	0.9075342466	1	0.8715753425	1	0.8784246575	1	0.7226027397		
Batch Size + Linger Ms		Cross Validation	1	0.9111780117	1	0.901571348	1	0.8638554712	1	0.7523937358		
Batch Size + Linger Ms	5	Validation data	1	0.8201284797	1	0.8672376874	1	0.8072805139	1	0.6102783726		
Batch Size + Linger Ms		Test data	1	0.8321917808	1	0.8801369863	1	0.8167808219	1	0.5976027397		
Batch Size + Linger Ms		Cross Validation	1	0.8436188585	1	0.8738051881	1	0.8154961348	1	0.6320243662		
Batch Size + Linger Ms	7	Validation data	1	0.800856531	1	0.8286937901	1	0.7665952891	1	0.5289079229		
Batch Size + Linger Ms		Test data	1	0.7773972603	1	0.8767123288	1	0.7739726027	1	0.4897260274		
Batch Size + Linger Ms		Cross Validation	1	0.8172196245	1	0.868311638	1	0.7671579454	1	0.5346477831		
Batch Size + Linger Ms	10	Validation data	1	0.7344753747	1	0.8415417559	1	0.7023554604	1	0.4625267666		
Batch Size + Linger Ms		Test data	1	0.6900684932	1	0.8253424658	1	0.7226027397	1	0.448630137		
Batch Size + Linger Ms		Cross Validation	1	0.7307890223	1	0.8412151366	1	0.7218731643	1	0.469480016		
Batch Size + Max Request Size	2	Validation data	3	0.9014989293	1	0.8800856531	1	0.8586723769	1	0.8029978587		
Batch Size + Max Request Size		Test data	3	0.8801369863	1	0.8989726027	1	0.8510273973	1	0.7842465753		
Batch Size + Max Request Size		Cross Validation	3	0.8978095115	1	0.9053461078	1	0.8936940483	1	0.8069297916		
Batch Size + Max Request Size	3	Validation data	1	0.8458244111	1	0.8586723769	1	0.800856531	1	0.6466809422		
Batch Size + Max Request Size		Test data	1	0.8390410959	1	0.8715753425	1	0.8065068493	1	0.7037671233		
Batch Size + Max Request Size		Cross Validation	1	0.8614499871	1	0.8741435419	1	0.8415664137	1	0.6982148312		
Batch Size + Max Request Size	5	Validation data	1	0.7644539615	1	0.8650963597	1	0.7473233405	1	0.5503211991		
Batch Size + Max Request Size		Test data	1	0.7671232877	1	0.8476027397	1	0.7688356164	1	0.5856164384		
Batch Size + Max Request Size		Cross Validation	1	0.78325971	1	0.8593981297	1	0.7654338683	1	0.5795666017		
Batch Size + Max Request Size	7	Validation data	1	0.73875803	1	0.7965738758	1	0.7194860814	1	0.4732334047		
Batch Size + Max Request Size		Test data	1	0.7037671233	1	0.7859589041	1	0.7003424658	1	0.4537671233		
Batch Size + Max Request Size		Cross Validation	1	0.7170727696	1	0.8175479922	1	0.7294262083	1	0.4760009634		
Batch Size + Max Request Size	10	Validation data	1	0.6445396146	1	0.8094218415	1	0.6359743041	1	0.4111349036		
Batch Size + Max Request Size		Test data	1	0.6438356164	1	0.7945205479	1	0.6849315068	1	0.3784246575		
Batch Size + Max Request Size		Cross Validation	1	0.6769549332	1	0.8028131535	1	0.6844991659	1	0.402604032		
Buffer Memory + Linger Ms	2	Validation data	3	0.9336188437	1	0.9571734475	1	0.9250535332	1	0.9122055675		
Buffer Memory + Linger Ms		Test data	3	0.9400684932	1	0.9554794521	1	0.9417808219	1	0.9246575342		
Buffer Memory + Linger Ms		Cross Validation	3	0.9430702084	1	0.9602146432	1	0.9386181536	1	0.9194071759		
Buffer Memory + Linger Ms	3	Validation data	1	0.8907922912	1	0.9379014989	1	0.8972162741	1	0.8329764454		
Buffer Memory + Linger Ms		Test data	1	0.926369863	1	0.9297945205	1	0.9143835616	1	0.8493150685		
Buffer Memory + Linger Ms		Cross Validation	1	0.9238709791	1	0.940329895	1	0.9067247821	1	0.8549407881		
Buffer Memory + Linger Ms	5	Validation data	1	0.852248394	1	0.8929336188	1	0.852248394	1	0.7751605996		
Buffer Memory + Linger Ms		Test data	1	0.8373287671	1	0.904109589	1	0.8698630137	1	0.7636986301		
Buffer Memory + Linger Ms		Cross Validation	1	0.8580200428	1	0.9221551258	1	0.8648769943	1	0.7616585211		
Buffer Memory + Linger Ms	7	Validation data	1	0.8029978587	1	0.903640257	1	0.7773019272	1	0.7130620985		
Buffer Memory + Linger Ms		Test data	1	0.8219178082	1	0.9023972603	1	0.7962328767	1	0.6489726027		
Buffer Memory + Linger Ms		Cross Validation	1	0.841908292	1	0.9111803614	1	0.8192726568	1	0.6944471205		
